Tributary,Area_km2,Num_Sites,Num_Occurrences,Num_Families,Num_Genera,Num_Species,Num_Endemic_Species
Amazonas,100687,1463,16365,51,342,971,11
Jari,58207,80,471,41,160,227,9
Xingu,511169,1701,13215,50,314,821,73
Paru,39289,10,28,13,20,22,1
Curua-una,31116,123,1025,38,119,195,2
Curua,25291,42,189,25,58,80,
Tapajos,492570,1804,17765,52,334,982,66
Trombetas,126619,243,2883,47,237,494,5
Nhamunda,28609,108,630,36,129,235,1
Uatuma,67920,174,1692,47,191,416,
Madeira,1496852,5514,73048,52,404,1406,135
Negro,711562,2566,27983,53,393,1233,83
Solimoes,186654,1856,23732,51,362,1113,35
Purus,377158,631,9310,48,319,836,5
Coari,35588,59,795,46,189,323,
Japura,268954,793,6399,51,314,838,12
Tefe,24269,230,2226,48,245,545,2
Jurua,188895,293,3337,47,256,557,1
Jutai,78109,96,1354,43,175,322,
Putumayo,120579,282,3282,48,287,705,2
Javari,108966,150,3140,48,254,552,1
Napo,102190,639,6832,48,298,744,9
Maranon,363296,1088,8356,49,286,747,39
Ucayali,352304,1555,11007,49,289,727,28
